model,horizon,feature,abs_shap
random_forest,1,nominal_wages_yoy_lag1,0.012287758991214133
random_forest,1,seasonal_rolling_mean_lag12_season_length12_window_size2,0.01180034708684937
random_forest,1,gov_income_oil_yoy_lag1,0.011526737769798555
random_forest,1,gov_expenses_all_yoy_lag1,0.01112212500737561
random_forest,1,gov_debt_internal_yoy_lag1,0.010864479559861804
random_forest,1,price_oil_brent_yoy_lag1,0.009323706056392675
random_forest,1,euro_rub_yoy_lag1,0.009069485105733221
random_forest,1,gov_income_nonoil_yoy_lag1,0.009051878029573726
random_forest,1,hicp_index_yoy_lag1,0.008269239685258964
random_forest,1,retail_turnover_foods_yoy_lag1,0.006965635375109465
random_forest,1,lag6,0.0065821564349244
random_forest,1,rolling_mean_lag6_window_size2,0.006403624916403794
random_forest,1,usd_rub_yoy_lag1,0.005551055344244107
random_forest,1,freight_yoy_lag1,0.005240181420347404
random_forest,1,retail_turnover_nonfoods_yoy_lag1,0.0051563676968834895
random_forest,1,rolling_mean_lag3_window_size3,0.004654197723221411
random_forest,1,lag3,0.004026765761201479
random_forest,1,quarter,0.0032155301910293025
random_forest,1,volume_services_yoy_lag1,0.0028464028191201984
random_forest,1,work_construction_yoy_lag1,0.0023330276327564415
random_forest,1,unempl_official_yoy_lag1,0.001959634941726163
random_forest,1,year,0.0017246941281690638
xgboost,1,cpi_yoy_lag1,1.186038775447135
xgboost,1,miacr_yoy_lag1,0.48016239578525227
xgboost,1,lag1,0.3950919279207786
xgboost,1,exponentially_weighted_mean_lag1_alpha0.5,0.3189916086460774
xgboost,1,ruonia_yoy_lag1,0.25963660577932995
xgboost,1,lag2,0.11993848516916235
xgboost,1,rolling_mean_lag1_window_size3,0.11169395553103338
xgboost,1,nominal_credit_yoy_lag1,0.09406412361810605
xgboost,1,yc_025_yoy_lag1,0.08365953680974296
xgboost,1,initialize_building_yoy_lag1,0.08259153910330497
xgboost,1,yc_10_yoy_lag1,0.06339986847403149
xgboost,1,usd_rub_yoy_lag1,0.052616264283036195
xgboost,1,euro_rub_yoy_lag1,0.05052760253844705
xgboost,1,price_natural_gas_yoy_lag1,0.026109396945685148
xgboost,1,nominal_wages_yoy_lag1,0.025633474157075398
xgboost,1,gov_income_oil_yoy_lag1,0.024505882525166573
xgboost,1,gov_income_nonoil_yoy_lag1,0.024226605504130323
xgboost,1,lag12,0.02276828641455116
xgboost,1,retail_turnover_nonfoods_yoy_lag1,0.022648786893114448
xgboost,1,work_construction_yoy_lag1,0.022397168426929664
xgboost,1,lag6,0.020374992707123358
xgboost,1,gov_debt_internal_yoy_lag1,0.018922482151538134
xgboost,1,rolling_mean_lag12_window_size2,0.017594978290920455
xgboost,1,m2_aggregate_yoy_lag1,0.017436206864658743
xgboost,1,freight_yoy_lag1,0.01699231565453374
xgboost,1,price_oil_brent_yoy_lag1,0.016562625746397924
xgboost,1,rolling_mean_lag3_window_size3,0.011339340761575537
xgboost,1,fao_index_yoy_lag1,0.011155881074955687
xgboost,1,gov_debt_external_yoy_lag1,0.011107706144684926
xgboost,1,month,0.009917661761088917
xgboost,1,gov_expenses_all_yoy_lag1,0.008341507840668783
xgboost,1,pce_index_yoy_lag1,0.007608883946280305
xgboost,1,unempl_official_yoy_lag1,0.007109415545225299
xgboost,1,retail_turnover_foods_yoy_lag1,0.006926098170424666
xgboost,1,year,0.005616311779400955
xgboost,1,lag3,0.00462790067892153
xgboost,1,volume_services_yoy_lag1,0.003997919398292045
xgboost,1,seasonal_rolling_mean_lag12_season_length12_window_size2,0.0033956765085652782
xgboost,1,quarter,0.002436821087030694
xgboost,1,hicp_index_yoy_lag1,0.001708033049662087
xgboost,1,rolling_mean_lag6_window_size2,0.0007355328089033719
