model,horizon,origin_date,target_date,actual,forecast
adaboost,1,2024-11-01,2024-12-01,109.5,110.275
adaboost,1,2024-12-01,2025-01-01,109.9,112.1055555555555
adaboost,1,2025-01-01,2025-02-01,110.1,114.75454545454545
adaboost,1,2025-02-01,2025-03-01,110.3,113.72000000000003
adaboost,1,2025-03-01,2025-04-01,110.2,114.94999999999997
adaboost,1,2025-04-01,2025-05-01,109.9,114.81428571428572
adaboost,1,2025-05-01,2025-06-01,109.4,112.91428571428573
adaboost,1,2025-06-01,2025-07-01,108.8,112.49090909090906
adaboost,1,2025-07-01,2025-08-01,108.1,111.39999999999999
adaboost,1,2025-08-01,2025-09-01,108.0,108.98125000000002
adaboost,1,2025-09-01,2025-10-01,107.7,108.2
adaboost,1,2025-10-01,2025-11-01,106.6,108.12
adaboost,1,2025-11-01,2025-12-01,105.6,104.08125
adaboost,1,2025-12-01,2026-01-01,106.0,103.74761904761904
adaboost,1,2026-01-01,2026-02-01,105.9,107.53636363636365
adaboost,1,2026-02-01,2026-03-01,105.9,107.52105263157893
bagging,1,2024-03-01,2024-04-01,107.8,108.07050000000001
bagging,1,2024-04-01,2024-05-01,108.3,108.10349999999998
bagging,1,2024-05-01,2024-06-01,108.6,108.52049999999997
bagging,1,2024-06-01,2024-07-01,109.1,108.92000000000002
bagging,1,2024-07-01,2024-08-01,109.1,110.8245
bagging,1,2024-08-01,2024-09-01,108.6,111.8505
bagging,1,2024-09-01,2024-10-01,108.5,110.13600000000001
bagging,1,2024-10-01,2024-11-01,108.9,108.96949999999998
bagging,1,2024-11-01,2024-12-01,109.5,109.869
bagging,1,2024-12-01,2025-01-01,109.9,110.85150000000002
bagging,1,2025-01-01,2025-02-01,110.1,111.44400000000002
bagging,1,2025-02-01,2025-03-01,110.3,110.9825
bagging,1,2025-03-01,2025-04-01,110.2,111.61750000000002
bagging,1,2025-04-01,2025-05-01,109.9,111.619
bagging,1,2025-05-01,2025-06-01,109.4,111.001
bagging,1,2025-06-01,2025-07-01,108.8,110.666
bagging,1,2025-07-01,2025-08-01,108.1,109.8475
bagging,1,2025-08-01,2025-09-01,108.0,108.83049999999999
bagging,1,2025-09-01,2025-10-01,107.7,107.719
bagging,1,2025-10-01,2025-11-01,106.6,107.5255
bagging,1,2025-11-01,2025-12-01,105.6,106.69249999999998
bagging,1,2025-12-01,2026-01-01,106.0,106.28150000000001
bagging,1,2026-01-01,2026-02-01,105.9,106.02550000000002
bagging,1,2026-02-01,2026-03-01,105.9,106.08450000000005
catboost,1,2024-03-01,2024-04-01,107.8,108.88141220849731
catboost,1,2024-04-01,2024-05-01,108.3,109.60736976482607
catboost,1,2024-05-01,2024-06-01,108.6,110.35799878355114
catboost,1,2024-06-01,2024-07-01,109.1,111.61777212969022
catboost,1,2024-07-01,2024-08-01,109.1,112.47915417575528
catboost,1,2024-08-01,2024-09-01,108.6,112.6778725822289
catboost,1,2024-09-01,2024-10-01,108.5,112.57588928297285
catboost,1,2024-10-01,2024-11-01,108.9,112.13748440945136
catboost,1,2024-11-01,2024-12-01,109.5,112.11406163862033
catboost,1,2024-12-01,2025-01-01,109.9,112.34347210742219
catboost,1,2025-01-01,2025-02-01,110.1,112.73293770869304
catboost,1,2025-02-01,2025-03-01,110.3,112.74499218217309
catboost,1,2025-03-01,2025-04-01,110.2,112.72778869020301
catboost,1,2025-04-01,2025-05-01,109.9,112.84619451519121
catboost,1,2025-05-01,2025-06-01,109.4,112.6927476021941
catboost,1,2025-06-01,2025-07-01,108.8,111.91657709913244
catboost,1,2025-07-01,2025-08-01,108.1,111.78046190686622
catboost,1,2025-08-01,2025-09-01,108.0,110.80953018849766
catboost,1,2025-09-01,2025-10-01,107.7,109.03665843532484
catboost,1,2025-10-01,2025-11-01,106.6,108.25107851672134
catboost,1,2025-11-01,2025-12-01,105.6,106.6429391920417
catboost,1,2025-12-01,2026-01-01,106.0,106.03968019803449
catboost,1,2026-01-01,2026-02-01,105.9,106.62353849991499
catboost,1,2026-02-01,2026-03-01,105.9,106.60646533722324
lightgbm,1,2024-03-01,2024-04-01,107.8,107.99966282766717
lightgbm,1,2024-04-01,2024-05-01,108.3,108.67778818716059
lightgbm,1,2024-05-01,2024-06-01,108.6,108.70178931721773
lightgbm,1,2024-06-01,2024-07-01,109.1,109.15943704027046
lightgbm,1,2024-07-01,2024-08-01,109.1,112.79637004096777
lightgbm,1,2024-08-01,2024-09-01,108.6,112.79317410110089
lightgbm,1,2024-09-01,2024-10-01,108.5,112.73138984956505
lightgbm,1,2024-10-01,2024-11-01,108.9,111.7192897675869
lightgbm,1,2024-11-01,2024-12-01,109.5,109.4541081839088
lightgbm,1,2024-12-01,2025-01-01,109.9,111.94928401390439
lightgbm,1,2025-01-01,2025-02-01,110.1,111.93083636557415
lightgbm,1,2025-02-01,2025-03-01,110.3,111.22700698683413
lightgbm,1,2025-03-01,2025-04-01,110.2,113.15421307578731
lightgbm,1,2025-04-01,2025-05-01,109.9,111.07712190427807
lightgbm,1,2025-05-01,2025-06-01,109.4,110.96319018823162
lightgbm,1,2025-06-01,2025-07-01,108.8,111.1900984614091
lightgbm,1,2025-07-01,2025-08-01,108.1,111.00614109726347
lightgbm,1,2025-08-01,2025-09-01,108.0,109.828853581419
lightgbm,1,2025-09-01,2025-10-01,107.7,107.6391557252247
lightgbm,1,2025-10-01,2025-11-01,106.6,107.69900810940024
lightgbm,1,2025-11-01,2025-12-01,105.6,106.30311654366632
lightgbm,1,2025-12-01,2026-01-01,106.0,105.82444776463488
lightgbm,1,2026-01-01,2026-02-01,105.9,105.98696348691904
lightgbm,1,2026-02-01,2026-03-01,105.9,106.74763606822061
random_forest,1,2024-03-01,2024-04-01,107.8,108.45636710030152
random_forest,1,2024-04-01,2024-05-01,108.3,108.27304431891628
random_forest,1,2024-05-01,2024-06-01,108.6,108.85699423150365
random_forest,1,2024-06-01,2024-07-01,109.1,109.22367598443199
random_forest,1,2024-07-01,2024-08-01,109.1,111.19505208333312
random_forest,1,2024-08-01,2024-09-01,108.6,112.4766770833332
random_forest,1,2024-09-01,2024-10-01,108.5,110.76131155303015
random_forest,1,2024-10-01,2024-11-01,108.9,109.40462932692284
random_forest,1,2024-11-01,2024-12-01,109.5,109.94707941849803
random_forest,1,2024-12-01,2025-01-01,109.9,111.10963230311343
random_forest,1,2025-01-01,2025-02-01,110.1,112.09060849358964
random_forest,1,2025-02-01,2025-03-01,110.3,111.29783864468854
random_forest,1,2025-03-01,2025-04-01,110.2,111.78969480311342
random_forest,1,2025-04-01,2025-05-01,109.9,111.82284067390938
random_forest,1,2025-05-01,2025-06-01,109.4,111.43813531676646
random_forest,1,2025-06-01,2025-07-01,108.8,110.90350615009984
random_forest,1,2025-07-01,2025-08-01,108.1,110.35001978646343
random_forest,1,2025-08-01,2025-09-01,108.0,109.14849546633911
random_forest,1,2025-09-01,2025-10-01,107.7,107.82167263986007
random_forest,1,2025-10-01,2025-11-01,106.6,107.69412972860464
random_forest,1,2025-11-01,2025-12-01,105.6,106.7435595262376
random_forest,1,2025-12-01,2026-01-01,106.0,106.23296785683675
random_forest,1,2026-01-01,2026-02-01,105.9,106.21963621031747
random_forest,1,2026-02-01,2026-03-01,105.9,106.33851319444442
gradient_boosting,1,2024-03-01,2024-04-01,107.8,108.91722591433255
gradient_boosting,1,2024-04-01,2024-05-01,108.3,109.93793946156318
gradient_boosting,1,2024-05-01,2024-06-01,108.6,110.40367813076986
gradient_boosting,1,2024-06-01,2024-07-01,109.1,110.79213772029418
gradient_boosting,1,2024-07-01,2024-08-01,109.1,111.27001135297392
gradient_boosting,1,2024-08-01,2024-09-01,108.6,111.86386581038167
gradient_boosting,1,2024-09-01,2024-10-01,108.5,111.74440902592264
gradient_boosting,1,2024-10-01,2024-11-01,108.9,110.57985890174812
gradient_boosting,1,2024-11-01,2024-12-01,109.5,111.09080292886357
gradient_boosting,1,2024-12-01,2025-01-01,109.9,111.27001135297392
gradient_boosting,1,2025-01-01,2025-02-01,110.1,112.2332488219892
gradient_boosting,1,2025-02-01,2025-03-01,110.3,112.2332488219892
gradient_boosting,1,2025-03-01,2025-04-01,110.2,112.41245724609956
gradient_boosting,1,2025-04-01,2025-05-01,109.9,112.10089912212682
gradient_boosting,1,2025-05-01,2025-06-01,109.4,111.9906335822827
gradient_boosting,1,2025-06-01,2025-07-01,108.8,111.33871264379135
gradient_boosting,1,2025-07-01,2025-08-01,108.1,111.09349242451832
gradient_boosting,1,2025-08-01,2025-09-01,108.0,109.9289423003438
gradient_boosting,1,2025-09-01,2025-10-01,107.7,109.0711452154162
gradient_boosting,1,2025-10-01,2025-11-01,106.6,108.16414704150927
gradient_boosting,1,2025-11-01,2025-12-01,105.6,106.10158775670062
gradient_boosting,1,2025-12-01,2026-01-01,106.0,105.87058252594035
gradient_boosting,1,2026-01-01,2026-02-01,105.9,107.50924426323817
gradient_boosting,1,2026-02-01,2026-03-01,105.9,107.48276749890768
xgboost,1,2024-03-01,2024-04-01,107.8,108.06585693359375
xgboost,1,2024-04-01,2024-05-01,108.3,108.01458740234375
xgboost,1,2024-05-01,2024-06-01,108.6,107.93074035644531
xgboost,1,2024-06-01,2024-07-01,109.1,108.50493621826172
xgboost,1,2024-07-01,2024-08-01,109.1,109.27000427246094
xgboost,1,2024-08-01,2024-09-01,108.6,112.07750701904297
xgboost,1,2024-09-01,2024-10-01,108.5,111.41717529296875
xgboost,1,2024-10-01,2024-11-01,108.9,108.51056671142578
xgboost,1,2024-11-01,2024-12-01,109.5,108.6094741821289
xgboost,1,2024-12-01,2025-01-01,109.9,109.81350708007812
xgboost,1,2025-01-01,2025-02-01,110.1,112.37030792236328
xgboost,1,2025-02-01,2025-03-01,110.3,111.66748046875
xgboost,1,2025-03-01,2025-04-01,110.2,112.03303527832031
xgboost,1,2025-04-01,2025-05-01,109.9,112.9306411743164
xgboost,1,2025-05-01,2025-06-01,109.4,111.9840316772461
xgboost,1,2025-06-01,2025-07-01,108.8,110.66266632080078
xgboost,1,2025-07-01,2025-08-01,108.1,110.10118103027344
xgboost,1,2025-08-01,2025-09-01,108.0,108.81111145019531
xgboost,1,2025-09-01,2025-10-01,107.7,107.22853088378906
xgboost,1,2025-10-01,2025-11-01,106.6,107.19374084472656
xgboost,1,2025-11-01,2025-12-01,105.6,106.62039947509766
xgboost,1,2025-12-01,2026-01-01,106.0,106.06810760498047
xgboost,1,2026-01-01,2026-02-01,105.9,106.15827941894531
xgboost,1,2026-02-01,2026-03-01,105.9,106.1813735961914
ann,1,2024-03-01,2024-04-01,107.8,107.3561782836914
ann,1,2024-04-01,2024-05-01,108.3,108.48088836669922
ann,1,2024-05-01,2024-06-01,108.6,109.10249328613281
ann,1,2024-06-01,2024-07-01,109.1,108.86643981933594
ann,1,2024-07-01,2024-08-01,109.1,109.63504028320312
ann,1,2024-08-01,2024-09-01,108.6,109.30683898925781
ann,1,2024-09-01,2024-10-01,108.5,108.14601135253906
ann,1,2024-10-01,2024-11-01,108.9,108.61327362060547
ann,1,2024-11-01,2024-12-01,109.5,108.76255798339844
ann,1,2024-12-01,2025-01-01,109.9,110.2794189453125
ann,1,2025-01-01,2025-02-01,110.1,110.46892547607422
ann,1,2025-02-01,2025-03-01,110.3,110.39877319335938
ann,1,2025-03-01,2025-04-01,110.2,110.44700622558594
ann,1,2025-04-01,2025-05-01,109.9,110.22138977050781
ann,1,2025-05-01,2025-06-01,109.4,109.89881896972656
ann,1,2025-06-01,2025-07-01,108.8,109.36199188232422
ann,1,2025-07-01,2025-08-01,108.1,108.34424591064453
ann,1,2025-08-01,2025-09-01,108.0,107.76412963867188
ann,1,2025-09-01,2025-10-01,107.7,107.72586059570312
ann,1,2025-10-01,2025-11-01,106.6,107.38435363769531
ann,1,2025-11-01,2025-12-01,105.6,105.79674530029297
ann,1,2025-12-01,2026-01-01,106.0,104.72106170654297
ann,1,2026-01-01,2026-02-01,105.9,106.38597869873047
ann,1,2026-02-01,2026-03-01,105.9,106.16631317138672
cnn,1,2024-03-01,2024-04-01,107.8,106.355224609375
cnn,1,2024-04-01,2024-05-01,108.3,108.0728759765625
cnn,1,2024-05-01,2024-06-01,108.6,109.0069580078125
cnn,1,2024-06-01,2024-07-01,109.1,108.66357421875
cnn,1,2024-07-01,2024-08-01,109.1,109.66320037841797
cnn,1,2024-08-01,2024-09-01,108.6,109.09733581542969
cnn,1,2024-09-01,2024-10-01,108.5,108.38706970214844
cnn,1,2024-10-01,2024-11-01,108.9,108.47594451904297
cnn,1,2024-11-01,2024-12-01,109.5,109.015869140625
cnn,1,2024-12-01,2025-01-01,109.9,110.29341125488281
cnn,1,2025-01-01,2025-02-01,110.1,110.75667572021484
cnn,1,2025-02-01,2025-03-01,110.3,110.31936645507812
cnn,1,2025-03-01,2025-04-01,110.2,110.05986785888672
cnn,1,2025-04-01,2025-05-01,109.9,109.9936294555664
cnn,1,2025-05-01,2025-06-01,109.4,110.2054443359375
cnn,1,2025-06-01,2025-07-01,108.8,109.54165649414062
cnn,1,2025-07-01,2025-08-01,108.1,107.53201293945312
